"PATH","ROW","system.index","CLOUD_COVER","h","v"
10,27,"LC09_010027_20211106",0.65,32,1
10,27,"LC09_010027_20211106",0.65,32,2
10,27,"LC09_010027_20211106",0.65,31,2
10,27,"LC09_010027_20211106",0.65,32,1
10,27,"LC09_010027_20211106",0.65,32,2
10,27,"LC09_010027_20211106",0.65,32,1
10,27,"LC09_010027_20211106",0.65,31,1
10,27,"LC09_010027_20211106",0.65,31,1
10,27,"LC09_010027_20211106",0.65,31,1
10,27,"LC09_010027_20211106",0.65,32,2
10,27,"LC09_010027_20211106",0.65,31,1
10,27,"LC09_010027_20211106",0.65,31,2
10,27,"LC09_010027_20211106",0.65,31,2
10,27,"LC09_010027_20211106",0.65,32,2
10,27,"LC09_010027_20211106",0.65,32,1
10,27,"LC09_010027_20211106",0.65,31,2
10,28,"LC09_010028_20211106",0.01,31,2
10,28,"LC09_010028_20211106",0.01,31,3
10,28,"LC09_010028_20211106",0.01,31,2
10,28,"LC09_010028_20211106",0.01,31,2
10,28,"LC09_010028_20211106",0.01,31,3
10,28,"LC09_010028_20211106",0.01,32,3
10,28,"LC09_010028_20211106",0.01,32,3
10,28,"LC09_010028_20211106",0.01,32,2
10,28,"LC09_010028_20211106",0.01,32,3
10,28,"LC09_010028_20211106",0.01,32,2
10,28,"LC09_010028_20211106",0.01,32,2
10,28,"LC09_010028_20211106",0.01,31,2
10,28,"LC09_010028_20211106",0.01,31,3
10,28,"LC09_010028_20211106",0.01,31,3
10,28,"LC09_010028_20211106",0.01,32,3
10,28,"LC09_010028_20211106",0.01,32,2
11,28,"LC09_011028_20220512",0.4,31,3
11,28,"LC09_011028_20220512",0.4,31,2
11,28,"LC09_011028_20220512",0.4,31,2
11,28,"LC09_011028_20220512",0.4,30,2
11,28,"LC09_011028_20220512",0.4,30,3
11,28,"LC09_011028_20220512",0.4,30,2
11,28,"LC09_011028_20220512",0.4,30,3
11,28,"LC09_011028_20220512",0.4,30,3
11,28,"LC09_011028_20220512",0.4,31,2
11,28,"LC09_011028_20220512",0.4,30,3
11,28,"LC09_011028_20220512",0.4,30,2
11,28,"LC09_011028_20220512",0.4,31,3
11,28,"LC09_011028_20220512",0.4,31,2
11,28,"LC09_011028_20220512",0.4,31,3
11,28,"LC09_011028_20220512",0.4,31,3
11,28,"LC09_011028_20220512",0.4,30,2
11,29,"LC09_011029_20211111",0.08,30,4
11,29,"LC09_011029_20211111",0.08,30,3
11,29,"LC09_011029_20211111",0.08,31,4
11,29,"LC09_011029_20211111",0.08,31,3
11,29,"LC09_011029_20211111",0.08,30,3
11,29,"LC09_011029_20211111",0.08,30,4
11,29,"LC09_011029_20211111",0.08,30,3
11,29,"LC09_011029_20211111",0.08,31,4
11,29,"LC09_011029_20211111",0.08,30,4
11,29,"LC09_011029_20211111",0.08,31,3
11,29,"LC09_011029_20211111",0.08,31,3
11,29,"LC09_011029_20211111",0.08,31,4
11,29,"LC09_011029_20211111",0.08,31,3
11,29,"LC09_011029_20211111",0.08,30,4
11,29,"LC09_011029_20211111",0.08,30,3
11,29,"LC09_011029_20211111",0.08,31,4
11,29,"LC09_011029_20220512",0.41,30,4
11,29,"LC09_011029_20220512",0.41,30,3
11,29,"LC09_011029_20220512",0.41,31,4
11,29,"LC09_011029_20220512",0.41,31,3
11,29,"LC09_011029_20220512",0.41,30,3
11,29,"LC09_011029_20220512",0.41,30,4
11,29,"LC09_011029_20220512",0.41,30,3
11,29,"LC09_011029_20220512",0.41,31,4
11,29,"LC09_011029_20220512",0.41,30,4
11,29,"LC09_011029_20220512",0.41,31,3
11,29,"LC09_011029_20220512",0.41,31,3
11,29,"LC09_011029_20220512",0.41,31,4
11,29,"LC09_011029_20220512",0.41,31,3
11,29,"LC09_011029_20220512",0.41,30,4
11,29,"LC09_011029_20220512",0.41,30,3
11,29,"LC09_011029_20220512",0.41,31,4
11,31,"LC09_011031_20211111",0.39,30,5
11,31,"LC09_011031_20211111",0.39,31,6
